Combination,Weight1,Weight2,10-Year Return
QQQ-SCHD,0,10,242.1464824
QQQ-SCHD,0,10,229.697451
QQQ-SCHD,0,10,250.303295
QQQ-SCHD,0,10,235.219554
QQQ-SCHD,0,10,219.6104343
QQQ-SCHD,0,10,223.0396714
QQQ-SCHD,0,10,210.0650672
QQQ-SCHD,0,10,234.8998747
QQQ-SCHD,0,10,197.5960186
QQQ-SCHD,0,10,201.8352692
QQQ-SCHD,0,10,191.8583981
QQQ-SCHD,0,10,166.9836909
QQQ-SCHD,0,10,199.7402406
QQQ-SCHD,0,10,218.7736496
QQQ-SCHD,0,10,207.9891317
QQQ-SCHD,0,10,197.8875921
QQQ-SCHD,0,10,182.0568856
QQQ-SCHD,0,10,168.1272028
QQQ-SCHD,0,10,158.247449
QQQ-SCHD,0,10,144.2117012
QQQ-SCHD,0,10,159.3342661
QQQ-SCHD,0,10,158.3399541
QQQ-SCHD,0,10,163.8153241
QQQ-SCHD,0,10,146.1124637
QQQ-SCHD,0,10,125.4650148
QQQ-SCHD,0,10,133.7228165
QQQ-SCHD,0,10,145.5446821
QQQ-SCHD,0,10,157.3415528
QQQ-SCHD,0,10,152.2729573
QQQ-SCHD,0,10,156.9615
QQQ-SCHD,0,10,140.9796251
QQQ-SCHD,0,10,142.6907835
QQQ-SCHD,0,10,136.9671846
QQQ-SCHD,0,10,156.071936
QQQ-SCHD,0,10,153.426325
QQQ-SCHD,0,10,155.6608514
QQQ-SCHD,0,10,151.193836
QQQ-SCHD,0,10,155.1686886
QQQ-SCHD,0,10,140.4504406
QQQ-SCHD,0,10,152.8055416
QQQ-SCHD,0,10,146.3657589
QQQ-SCHD,0,10,151.0762951
QQQ-SCHD,0,10,130.1077921
QQQ-SCHD,0,10,134.2750663
QQQ-SCHD,1,9,271.0182483
QQQ-SCHD,1,9,260.5353567
QQQ-SCHD,1,9,281.4793383
QQQ-SCHD,1,9,260.3939274
QQQ-SCHD,1,9,241.5415445
QQQ-SCHD,1,9,244.7007675
QQQ-SCHD,1,9,227.9348459
QQQ-SCHD,1,9,253.519531
QQQ-SCHD,1,9,213.8047855
QQQ-SCHD,1,9,221.3777148
QQQ-SCHD,1,9,208.5794702
QQQ-SCHD,1,9,181.417956
QQQ-SCHD,1,9,215.2771208
QQQ-SCHD,1,9,234.6079922
QQQ-SCHD,1,9,221.5390466
QQQ-SCHD,1,9,214.457009
QQQ-SCHD,1,9,199.1737574
QQQ-SCHD,1,9,187.7234586
QQQ-SCHD,1,9,177.6103988
QQQ-SCHD,1,9,165.2365184
QQQ-SCHD,1,9,182.3722119
QQQ-SCHD,1,9,180.7380018
QQQ-SCHD,1,9,185.7603364
QQQ-SCHD,1,9,165.7858134
QQQ-SCHD,1,9,143.9392359
QQQ-SCHD,1,9,153.6995068
QQQ-SCHD,1,9,165.8944925
QQQ-SCHD,1,9,178.3994201
QQQ-SCHD,1,9,173.5054566
QQQ-SCHD,1,9,179.1817358
QQQ-SCHD,1,9,162.4073401
QQQ-SCHD,1,9,164.5092431
QQQ-SCHD,1,9,159.7763901
QQQ-SCHD,1,9,177.8163095
