Combination,Weight1,Weight2,Min Value,1st Quartile,Median,3rd Quartile,IQR,Max Value,Variance
QQQ-SCHD,0,10,125.46501482787455,146.30243507508843,157.7945008708589,200.2639977568847,53.961562681796266,250.3032950336853,1233.8208178389477
QQQ-SCHD,1,9,143.93923593872432,166.60228015288052,178.79057795153528,216.8022692589424,50.19998910606188,281.4793382601196,1296.7873632076746
QQQ-SCHD,2,8,163.51814577390144,188.3421071066486,200.80904243716944,232.45495775043196,44.11285064378336,315.00313946612266,1390.563314293305
QQQ-SCHD,3,7,184.2293722789659,211.40617772365937,225.87471047881616,249.07471752890893,37.668539805249566,351.0106728945557,1527.9960504194555
QQQ-SCHD,4,6,206.0976072479776,237.5779696563696,251.896808036047,265.8398343831482,28.261864726778583,389.6421329544536,1725.0918882884246
QQQ-SCHD,5,5,229.1442286737075,264.96589158118195,276.7150480590849,288.20169591267273,23.235804331490783,431.0417348590289,2001.5250158618062
QQQ-SCHD,6,4,253.38691683168034,291.5475124128705,300.6903896330449,316.9422687526171,25.394756339746607,475.3574778714005,2381.1956186326743
QQQ-SCHD,7,3,276.4518470005806,315.7562983363172,328.0267813558162,347.64599025356495,31.889691917247774,522.7408692737815,2892.8380392342265
QQQ-SCHD,8,2,293.5161459361646,342.23727916706946,356.8447538475087,379.4280830773549,37.19080391028547,573.3466072726126,3570.6793296847495
QQQ-SCHD,9,1,310.86505553756683,364.6822632090236,389.61968636733025,412.5024552538631,47.82019204483953,627.3322211705336,4455.1480265305
QQQ-SCHD,10,0,328.46861870149775,393.7646435441774,420.4392098327568,447.9727484151207,54.208104870943316,684.8576672770554,5593.632405612651
QQQ-SPY,0,10,-26.77387871856658,92.97466789906696,116.27073829720449,236.48011889101014,143.50545099194318,362.30480055750934,10053.358386856275
QQQ-SPY,1,9,-26.974274827319846,101.08550873159372,124.55431418458396,252.30302419994052,151.2175154683468,384.7778621213987,11505.694978283358
QQQ-SPY,2,8,-27.470373237079638,108.63536445626536,132.99258704852392,270.9438147516561,162.3084502953907,412.2303668113433,13148.038213809712
QQQ-SPY,3,7,-29.353578103207056,117.63835750679847,141.68148058594542,288.1714718645659,170.53311435776743,441.1400402884581,15000.103280103707
QQQ-SPY,4,6,-33.33648516742122,124.16426481891853,151.82178849806033,308.6405856018822,184.47632078296368,471.42505219179753,17083.15021287222
QQQ-SPY,5,5,-37.27701672297996,131.75513253505432,162.69992143575558,327.9407787927059,196.18564625765157,503.1350637060726,19420.08652803178
QQQ-SPY,6,4,-41.15773306086099,137.81769965073715,175.09821907999793,345.3599086034113,207.54220895267417,536.3206171225526,22035.578490907534
QQQ-SPY,7,3,-44.96249158263136,143.90780857742143,187.7706160399423,364.03566646810253,220.1278578906811,571.0330973319731,24956.171701458705
QQQ-SPY,8,2,-48.67653239547435,150.30396975131694,200.9875601761121,381.98077882285475,231.6768090715378,607.3246893958003,28210.421607829358
QQQ-SPY,9,1,-52.537383364959524,155.68426571564476,214.62089327114478,403.1239817146536,247.43971599900885,645.2483320845199,31829.034469903418
QQQ-SPY,10,0,-56.857385180533406,160.98629703709665,228.67264731232683,427.49558482109245,266.5092877839958,684.8576672770554,35845.01918065437
QQQ-TLT,0,10,-18.36128893610438,42.74695447001334,88.49845150517162,101.35440596037344,58.6074514903601,144.8568374382779,1800.7363207823776
QQQ-TLT,1,9,0.9138397356549754,68.70842682950924,104.73612217962294,120.92494280492355,52.21651597541431,166.1108860787472,1756.972552677813
QQQ-TLT,2,8,24.189490317950877,97.07890466723859,123.35263673494757,142.9345203886356,45.855615721397015,190.05004060950657,1716.3195992053136
QQQ-TLT,3,7,52.1623718352747,114.81472831178979,141.5103215122561,163.227091384878,48.412363073088216,225.64628911986938,1744.985954647677
QQQ-TLT,4,6,84.81819089257654,128.4616276384825,157.04312098590188,186.1885040882642,57.72687644978171,264.84487067750814,1950.0947587865942
QQQ-TLT,5,5,118.97409464415772,153.9130797548163,170.24458381528572,225.94922793831694,72.03614818350064,311.82835847025484,2491.679884639229
QQQ-TLT,6,4,138.9165268246949,173.94321462537448,192.90018211687774,263.1676512082038,89.2244365828293,369.7609811207869,3595.7193205250946
QQQ-TLT,7,3,142.07356234165593,187.4570162422674,226.88261604416678,304.95968779200007,117.50267154973267,432.90131103629017,5567.683171466792
QQQ-TLT,8,2,143.53219865741892,194.8158719628616,272.5436029505775,346.90717871122,152.09130674835842,501.2018511990833,8805.90474900807
QQQ-TLT,9,1,143.24328428401517,200.5098642131502,312.33046483959,384.1216962295436,183.6118320163934,581.4823083127604,13813.923276503758
QQQ-TLT,10,0,141.1926812313772,203.5423842761148,362.5208281275726,445.6914458923808,242.14906161626598,684.8576672770554,21210.80686607914
QQQ-GLD,0,10,-10.018035535428416,29.62647995344272,44.11304165999521,88.88523062884684,59.25875067540412,192.39695257921318,2335.6070095691143
QQQ-GLD,1,9,7.559149855718705,51.51228500633357,67.64008463674169,107.66699828709143,56.15471328075786,201.02803107815248,2105.22803282786
QQQ-GLD,2,8,27.924899448660124,77.79374169671448,94.27314722694426,127.43602826847398,49.6422865717595,212.835799444835,1798.119723775486
QQQ-GLD,3,7,51.3876889189308,104.68163548913381,126.11938465190175,150.02202965294921,45.340394163815404,236.74285977064372,1469.8349790218406
QQQ-GLD,4,6,78.2642513140497,134.58082257459247,152.00739862248827,173.0680992348008,38.48727666020832,262.8267257332947,1222.4796742352355
QQQ-GLD,5,5,108.87441171220682,163.47103207777013,183.50356849202853,209.8222657758111,46.35123369804097,288.9263240990489,1222.3366643372735
QQQ-GLD,6,4,143.53487026674037,184.32194074229199,217.75856185496997,251.980547593271,67.65860685097903,318.13159369688054,1721.3972225155953
QQQ-GLD,7,3,160.16923208547786,203.9182838539109,257.5389470718311,305.1490943265677,101.2308104726568,387.56943882054554,3083.1879734994664
QQQ-GLD,8,2,165.07358650802985,217.11753064821858,304.39035471589995,351.7469449281748,134.62941427995622,466.00175254094756,5813.236190423734
QQQ-GLD,9,1,168.18703862274148,220.3193796236327,356.7995467833316,404.47146153592405,184.15208191229135,559.1774822885162,10594.446905066117
QQQ-GLD,10,0,169.42231919301688,229.99060462985207,406.5587980968702,467.5069251998045,237.51632056995246,684.8576672770554,18327.56262301871
SCHD-SPY,0,10,185.42633979075788,221.2980539066938,232.29130408135694,247.00020058315704,25.70214667646323,358.3430004526332,1451.9519048191244
SCHD-SPY,1,9,179.1988100759439,214.02495244683305,225.2551186528833,239.0659728672478,25.041020420414753,346.6101022588722,1366.5478839827322
SCHD-SPY,2,8,173.01510025903974,208.33370300773072,218.06330612433413,230.86032295498325,22.526619947252527,335.085838731345,1299.1553783322356
SCHD-SPY,3,7,166.87826251528773,200.66935796704382,209.61517402770528,224.5887405924433,23.919382625399464,323.7695715254023,1248.2165669633166
SCHD-SPY,4,6,160.79123478660247,191.7190134234419,202.10849096250553,220.0395105262294,28.3204971027875,312.66054981253575,1212.2305493913368
SCHD-SPY,5,5,154.75683984888695,185.13884139176227,194.61065576767413,216.65170846186754,31.512867070105273,301.7579140092653,1189.7550811344458
SCHD-SPY,6,4,148.77778457072904,178.55184232246637,187.12661531339714,213.4563432172563,34.90450089478992,291.06069950764044,1179.4080145305552
SCHD-SPY,7,3,142.85665936021528,170.6673788606558,180.2290647605723,210.35366427532614,39.68628541467035,280.5678404030456,1179.8684500490672
SCHD-SPY,8,2,136.9959377963049,161.90163851986526,172.1827736335335,207.55861688512744,45.65697836526218,270.27817321510344,1189.8776047373215
SCHD-SPY,9,1,131.19797644094825,153.9290610038812,164.1873237185813,204.1649196523352,50.235858648453984,260.19044059762757,1208.2394057195852
SCHD-SPY,10,0,125.46501482787455,146.30243507508843,157.7945008708589,200.2639977568847,53.961562681796266,250.3032950336853,1233.8208178389477
SCHD-TLT,0,10,-18.36128893610438,1.2329210636716936,10.113191533928145,15.835592385442432,14.602671321770739,63.67872853078287,382.54110944563575
SCHD-TLT,1,9,-6.933221701911485,12.497851874091625,22.088965849266593,29.79509686563616,17.297244991544538,78.76703110585976,432.7402701931102
SCHD-TLT,2,8,5.670598616210687,25.668008190456693,34.86939204629792,43.71639995708833,18.048391766631635,94.68602401045152,486.5751247000361
SCHD-TLT,3,7,19.50293817908424,38.11683442868562,49.27326850438064,58.90001155930349,20.783177130617872,111.8729851489527,544.5469865486917
SCHD-TLT,4,6,34.60786211663749,51.40686849975344,62.75758724945929,73.01182322593577,21.604954726182328,129.658563029,607.5756942709429
SCHD-TLT,5,5,51.01869230544751,66.79139642261325,78.8050892066255,93.14673953515079,26.35534311253754,147.94124819647533,677.1482526593925
SCHD-TLT,6,4,66.90693870246518,82.70862939168798,94.00620602518705,114.382635684602,31.674006292914015,166.6032326411705,755.475669195107
SCHD-TLT,7,3,81.9211803734277,97.92748295562511,109.5217898308088,134.19756411075383,36.27008115512872,186.52956210590105,845.6463921033056
SCHD-TLT,8,2,97.51516231347608,114.05093677639486,125.53634080159424,155.53999784317793,41.489061066783066,207.6748100753904,951.7612496948827
SCHD-TLT,9,1,111.60067950546492,130.5759531136251,141.63934452285258,176.97146979305296,46.39551667942786,228.99425742691454,1079.031684614072
SCHD-TLT,10,0,125.46501482787455,146.30243507508843,157.7945008708589,200.2639977568847,53.961562681796266,250.3032950336853,1233.8208178389477
SCHD-GLD,0,10,-10.018035535428416,9.107567054257022,39.323231634433554,79.983249318385,70.87568226412799,167.70951418501298,2508.4113239526164
SCHD-GLD,1,9,2.1521261332232866,23.357700246832298,50.194886812379245,88.93373027542928,65.57603002859699,168.35934414517126,2174.765813014612
SCHD-GLD,2,8,15.497426579773133,38.72720884488924,60.347479839934934,97.56482784789571,58.83761900300647,167.96161776231807,1796.451644672404
SCHD-GLD,3,7,30.05880500614502,55.07354554155194,71.28603163166326,105.796630164161,50.723084622609065,166.52269213626965,1393.6630759961051
SCHD-GLD,4,6,45.86740731142696,72.4952262741249,84.8219244280485,113.55024637624511,41.05502010212021,164.0894620836463,994.0160390268891
SCHD-GLD,5,5,62.94282731898906,90.08381320409842,101.1376283151827,120.74898305663335,30.66516985253493,164.3239035080604,633.1391085336485
SCHD-GLD,6,4,81.29135215819736,108.4863020969322,116.773613119451,133.50955190589525,25.023249808963044,163.57542879455852,355.02395657462483
SCHD-GLD,7,3,100.90425282503458,123.57266485240774,132.24197493809683,144.98907825979825,21.416413407390507,161.85268373554266,212.06483124002608
SCHD-GLD,8,2,112.72888680305488,135.50150137488205,145.2384501993189,155.5696552025003,20.068153827618232,188.0128221859886,264.7184541053299
SCHD-GLD,9,1,119.43348076959977,142.94792149225378,151.89931736511022,175.41476146192085,32.46683996966706,218.2547252752856,580.7222680498326
SCHD-GLD,10,0,125.46501482787455,146.30243507508843,157.7945008708589,200.2639977568847,53.961562681796266,250.3032950336853,1233.8208178389477
SPY-TLT,0,10,-18.36128893610438,42.74695447001334,88.49845150517162,101.35440596037344,58.6074514903601,144.8568374382779,1800.7363207823776
SPY-TLT,1,9,-3.714527825213221,59.79684129419675,95.6683668299364,110.35387119753929,50.55702990334254,152.94692689920802,1582.7748261629122
SPY-TLT,2,8,13.135403534937584,78.0559566402064,102.83125837614864,122.03038466732525,43.97442802711885,161.39269494543623,1372.7591654946004
SPY-TLT,3,7,32.43753793609303,92.52859363214941,111.22742969018292,127.72643646222065,35.19784283007124,172.62648297388603,1206.8233235713453
SPY-TLT,4,6,54.45391599560037,100.54989722686231,116.13748251651326,136.0678380659336,35.5179408390713,188.19287589407497,1130.9008747415144
SPY-TLT,5,5,76.29118102311278,105.6970361688993,119.4236541646608,153.50381308126344,47.80677691236414,203.15652551002353,1200.9034642554368
SPY-TLT,6,4,95.66579859077366,113.81301978952064,124.01181202319731,174.81586201126296,61.00284222174233,228.02469749513693,1482.4451630559238
SPY-TLT,7,3,101.04386517296358,116.69210748762853,136.56666396387044,193.65663841456322,76.96453092693469,257.45673683011154,2050.0473391891082
SPY-TLT,8,2,97.90199036419548,114.7243400073257,156.96185330165204,209.07661898115018,94.35227897382448,287.7568616715705,2985.7756177506894
SPY-TLT,9,1,92.06525526922273,111.55838619833607,178.66280188527375,227.60541944049845,116.04703324216239,324.39403029650134,4377.281977152906
SPY-TLT,10,0,83.59450952935892,107.0154080740337,199.45794806496457,247.12339939454392,140.10799132051022,362.30480055750934,6315.250404974588
SPY-GLD,0,10,-10.018035535428416,29.62647995344272,44.11304165999521,88.88523062884684,59.25875067540412,192.39695257921318,2335.6070095691143
SPY-GLD,1,9,3.3710810079361053,44.535840404308246,60.16327281843385,97.28316187879315,52.747321474484906,189.13034935102417,1939.9037020072506
SPY-GLD,2,8,18.261793010657733,60.50168864316311,77.66964535937208,107.26612867062539,46.764440027462285,185.62648347967666,1532.113882512695
SPY-GLD,3,7,34.740753522904754,76.18179859619276,94.55719704887176,113.9536248162087,37.77182622001594,193.2955931172109,1155.6519927692632
SPY-GLD,4,6,52.886404444755385,92.21515971952167,106.5796698202369,127.12375932737783,34.90859960785616,201.69178466574786,866.9843268109847
SPY-GLD,5,5,72.76644762789981,106.76878934353442,121.85469225033616,144.6080556657119,37.83926632217748,209.69620674861252,736.5953259805991
SPY-GLD,6,4,94.43517528943678,116.35226540352295,142.4122713449592,156.65827952177352,40.30601411825057,216.64206206074363,849.6470416870674
SPY-GLD,7,3,98.43537035398289,121.82908559437082,160.23910130797344,183.4646297595102,61.635544165139365,233.8239205617643,1306.2702691795723
SPY-GLD,8,2,95.49579906850252,126.6393971992902,180.515292028925,209.03663119634786,82.39723399705765,273.7375599317262,2221.4311445991048
SPY-GLD,9,1,91.51232969402953,121.46658192548152,204.9278476219401,231.31694050090093,109.8503585754194,316.58599086708807,3724.323122444708
SPY-GLD,10,0,85.3260172075582,114.05774389565244,225.99585185000683,257.09859803001996,143.04085413436752,362.30480055750934,5957.240677165838
TLT-GLD,0,10,-10.018035535428416,29.62647995344272,44.11304165999521,88.88523062884684,59.25875067540412,192.39695257921318,2335.6070095691143
TLT-GLD,1,9,-7.727398543430574,35.193226641064314,48.895258536587164,93.35034266219253,58.15711602112822,190.70863776214537,2025.5482143880274
TLT-GLD,2,8,-5.764172611863949,37.70576520207773,54.99381111214965,92.97525336210433,55.2694881600266,187.58912925721472,1793.3587392443683
TLT-GLD,3,7,-4.472155802916933,41.65078226047885,59.57283670241231,92.13731665623216,50.48653439575331,183.09445699837718,1631.1391902370754
TLT-GLD,4,6,-3.3897944856627116,42.13555396726042,63.49083331237857,92.35677596224454,50.22122199498412,177.29812622875215,1531.908971525613
TLT-GLD,5,5,-2.5239328283148454,36.955061708181226,62.16293124898775,95.70505922791705,58.74999751973582,170.2893590703112,1489.5445865057352
TLT-GLD,6,4,-1.8800171424606993,35.810805694342434,67.83515944616059,97.80970021574464,61.99889452140221,162.17106103643775,1498.6707595945659
TLT-GLD,7,3,-1.462041271508674,28.209151078634985,72.42232028585703,100.25011763053183,72.04096655189684,153.0575708594739,1554.5166505911213
