Date,Dividend
2025-03-26,0.249
2024-12-11,0.265
2024-09-25,0.252
2024-06-26,0.275
2024-03-20,0.204
2023-12-06,0.247
2023-09-20,0.218
2023-06-21,0.222
2023-03-22,0.199
2022-12-07,0.234
2022-09-21,0.212
2022-06-22,0.235
2022-03-23,0.173
2021-12-08,0.207
2021-09-22,0.196
2021-06-23,0.18
2021-03-24,0.168
2020-12-10,0.201
2020-09-23,0.181
2020-06-24,0.147
2020-03-25,0.147
2019-12-12,0.155
2019-09-25,0.162
2019-06-26,0.14
2019-03-20,0.117
2018-12-12,0.135
2018-09-25,0.122
2018-06-26,0.135
2018-03-16,0.087
2017-12-18,0.115
2017-09-18,0.115
2017-06-19,0.11
2017-03-20,0.109
2016-12-19,0.133
2016-09-19,0.081
2016-06-20,0.106
2016-03-21,0.099
2015-12-21,0.091
2015-09-21,0.1
2015-06-22,0.102
2015-03-23,0.09
2014-12-22,0.092
2014-09-22,0.085
2014-06-23,0.09
2014-03-24,0.083
2013-12-23,0.083
2013-09-23,0.077
2013-06-24,0.075
2013-03-18,0.066
2012-12-24,0.086
2012-09-17,0.069
2012-06-18,0.069
2012-03-19,0.046
