Date,GLD,QQQ,SCHD,SPY,TLT
2012-01-31,169.31,53.7814,7.2145,103.4603,85.202
2012-02-29,164.29,57.2288,7.4205,107.951,82.9893
2012-03-31,162.12,60.1206,7.5615,111.4231,79.4739
2012-04-30,161.88,59.4175,7.5534,110.6793,83.3158
2012-05-31,151.62,55.2344,7.266,104.0324,90.8354
2012-06-30,155.19,57.2347,7.5263,108.2541,89.311
2012-07-31,156.49,57.8056,7.7106,109.5347,92.7203
2012-08-31,164.22,60.8029,7.7567,112.2788,91.4974
2012-09-30,171.89,61.3431,7.8506,115.1253,89.1799
2012-10-31,166.83,58.1046,7.7769,113.0301,88.7483
2012-11-30,166.05,58.8651,7.8124,113.6698,89.7771
2012-12-31,162.02,58.5902,7.7387,114.6854,87.5437
2013-01-31,161.2,60.1555,8.1674,120.5562,84.7551
2013-02-28,153.0,60.3624,8.3394,122.0944,85.805
2013-03-31,154.45,62.1882,8.6807,126.7305,85.4451
2013-04-30,142.77,63.7661,8.9401,129.1651,89.4481
2013-05-31,133.92,66.0473,9.0658,132.2148,83.4005
2013-06-30,119.11,64.4653,8.9911,130.4504,80.6723
2013-07-31,127.96,68.5357,9.4036,137.1917,78.8507
2013-08-31,134.62,68.2644,9.0709,133.077,77.7938
2013-09-30,128.18,71.563,9.3146,137.2884,78.3008
2013-10-31,127.74,75.1103,9.7796,143.6458,79.4209
2013-11-30,120.7,77.7776,10.0287,147.9031,77.2739
2013-12-31,116.12,80.0542,10.1478,151.7377,75.8292
2014-01-31,120.09,78.5161,9.6966,146.3892,80.6085
2014-02-28,127.62,82.5616,10.073,153.0522,81.0309
2014-03-31,123.61,80.3047,10.2701,154.3219,81.6242
2014-04-30,124.22,80.0482,10.4568,155.3947,83.3344
2014-05-31,120.43,83.6389,10.5962,159.0008,85.7924
2014-06-30,128.04,86.2516,10.7402,162.2834,85.5768
2014-07-31,123.39,87.2711,10.555,160.1027,86.1452
2014-08-31,123.86,91.6429,10.917,166.4209,90.2145
2014-09-30,116.21,90.9495,10.8216,164.1249,88.3089
2014-10-31,112.66,93.3524,11.0349,167.9902,90.7979
2014-11-30,112.11,97.5965,11.3633,172.6052,93.4922
2014-12-31,113.58,95.4097,11.2604,172.1674,96.532
2015-01-31,123.45,93.423,10.91,167.0662,106.0073
2015-02-28,116.16,100.1687,11.4808,176.4561,99.5002
2015-03-31,113.66,97.8057,11.1361,173.6847,100.587
2015-04-30,113.47,99.6859,11.2208,175.3927,97.1417
2015-05-31,114.1,101.9273,11.2773,177.6476,94.8371
2015-06-30,112.37,99.3953,10.8196,174.0392,90.9753
2015-07-31,104.93,103.9255,10.8959,177.9706,95.111
2015-08-31,108.82,96.8331,10.3166,167.1233,94.4552
2015-09-30,106.86,94.6957,10.1584,162.8589,96.313
2015-10-31,109.3,105.4626,11.0485,176.7117,95.9193
2015-11-30,101.92,106.1046,11.0795,177.3576,95.0871
2015-12-31,101.46,104.4125,10.9742,174.2924,94.8045
2016-01-31,106.95,97.1972,10.7237,165.615,100.088
2016-02-29,118.64,95.6757,10.8034,165.4782,103.1767
2016-03-31,117.64,102.232,11.4096,176.6093,103.0803
2016-04-30,123.65,98.9741,11.3897,177.3053,102.3212
2016-05-31,116.06,103.2992,11.549,180.3216,103.1453
2016-06-30,126.47,100.946,11.7938,180.9483,110.2976
2016-07-31,128.98,108.1645,12.1296,187.5477,112.6166
2016-08-31,124.78,109.3003,12.0898,187.7723,111.4752
2016-09-30,125.64,111.7197,12.112,187.7832,109.7938
2016-10-31,121.94,110.0918,11.9231,184.5276,104.9841
2016-11-30,111.75,110.5717,12.3124,191.3253,96.361
2016-12-31,109.61,111.8236,12.5862,195.2038,95.9152
2017-01-31,115.55,117.5715,12.5256,198.697,96.6962
2017-02-28,119.23,122.7153,12.9531,206.5041,98.2284
2017-03-31,118.72,125.2025,12.878,206.7622,97.5849
2017-04-30,120.77,128.6168,12.9098,208.8145,99.1201
2017-05-31,120.62,133.6295,13.1351,211.7615,100.9914
2017-06-30,118.02,130.532,13.1225,213.1115,101.7911
2017-07-31,120.75,135.8333,13.3408,217.4918,101.121
2017-08-31,125.82,138.6499,13.3379,218.1264,104.568
2017-09-30,121.58,138.2406,13.7177,222.5215,102.1389
2017-10-31,120.67,144.6086,14.2131,227.765,102.0995
2017-11-30,121.1,147.4598,14.811,234.7268,102.8583
2017-12-31,123.65,148.3492,14.9986,237.5736,104.7227
2018-01-31,127.65,161.3402,15.6816,250.9631,101.3134
2018-02-28,125.0,159.2544,14.7993,241.8379,98.2321
2018-03-31,125.79,152.7587,14.3714,235.2091,101.0411
2018-04-30,124.59,153.5314,14.2101,236.4247,98.9312
2018-05-31,123.1,162.2411,14.4652,242.1719,100.9142
2018-06-30,118.65,164.0989,14.5659,243.5647,101.5659
2018-07-31,115.99,168.6877,15.2279,252.5879,100.1066
2018-08-31,113.51,178.439,15.5766,260.6504,101.42
2018-09-30,112.76,177.9364,15.7701,262.2001,98.515
2018-10-31,115.15,162.6415,14.8387,244.081,95.628
2018-11-30,115.54,162.2105,15.3386,248.6086,97.3371
2018-12-31,121.25,148.1619,14.0914,226.7188,103.0347
2019-01-31,124.75,161.5125,14.9434,244.8713,103.4248
2019-02-28,123.99,166.3436,15.5494,252.809,102.0012
2019-03-31,122.01,172.8719,15.6844,257.3849,107.6844
2019-04-30,121.2,182.3786,16.1884,267.8997,105.5403
2019-05-31,123.33,167.3776,14.9584,250.8155,112.7584
2019-06-30,133.2,180.0817,15.9214,268.2689,113.8298
2019-07-31,133.21,184.2862,16.1854,272.3249,114.1218
2019-08-31,143.75,180.7857,15.9754,267.7652,126.7312
2019-09-30,138.87,182.445,16.582,272.9754,123.335
2019-10-31,142.43,190.4363,16.806,279.0095,121.962
2019-11-30,137.86,198.1859,17.2812,289.1091,121.4655
2019-12-31,142.9,205.8881,17.6759,297.5094,117.5816
2020-01-31,149.33,212.1439,17.3646,297.3891,126.6249
2020-02-29,148.38,199.2935,15.7411,273.846,135.0158
2020-03-31,148.05,184.7732,13.7269,239.6506,143.6253
2020-04-30,158.8,212.4407,15.4573,270.0822,145.376
2020-05-31,162.91,226.4637,16.028,282.9504,142.8146
2020-06-30,167.37,240.7007,15.793,287.9684,143.2953
2020-07-31,185.43,258.3839,16.6292,304.9275,149.6507
2020-08-31,184.83,286.6634,17.4806,326.2104,142.0985
2020-09-30,177.12,270.0981,16.8764,313.9959,143.1976
2020-10-31,176.2,261.8738,16.9404,306.1668,138.35
2020-11-30,166.67,291.2712,19.1713,339.4708,140.652
2020-12-31,178.36,305.5506,19.5741,352.0475,138.9253
2021-01-31,172.61,306.3492,19.3971,348.46,133.8784
2021-02-28,161.81,305.9401,20.5721,358.1492,126.2032
2021-03-31,159.96,311.1924,22.2536,374.4088,119.5836
2021-04-30,165.66,329.5833,22.7449,394.219,122.5673
2021-05-31,178.38,325.6243,23.4774,396.8074,122.5699
2021-06-30,165.63,346.0153,23.0776,405.7068,127.9865
2021-07-31,169.82,355.9146,23.2271,415.6112,132.7432
2021-08-31,169.69,370.9294,23.7124,427.9797,132.2917
2021-09-30,164.22,349.849,22.6564,408.0335,128.4459
2021-10-31,166.65,377.3611,23.6544,436.6626,131.6122
2021-11-30,165.5,384.8965,23.1691,433.154,135.2597
2021-12-31,170.96,389.3317,24.8641,453.1864,132.5359
2022-01-31,168.09,355.2768,24.1843,429.2849,127.3486
2022-02-28,178.38,339.3747,23.7167,416.6136,125.269
2022-03-31,180.65,355.2164,24.4266,432.2743,118.4489
2022-04-30,176.91,306.9221,23.4203,394.334,107.2864
2022-05-31,171.14,302.0524,24.3337,395.2241,104.8689
2022-06-30,168.46,275.146,22.3978,362.6338,103.5323
2022-07-31,164.1,309.6815,23.2733,396.0278,106.0492
2022-08-31,159.27,293.7881,22.6386,379.8691,101.2206
2022-09-30,154.67,262.8359,20.9599,344.7517,92.885
2022-10-31,151.91,273.349,23.3105,372.7716,87.345
2022-11-30,164.81,288.5039,24.9038,393.4946,93.5911
2022-12-31,169.64,262.4991,23.8342,370.8182,91.139
2023-01-31,179.41,290.4367,24.3296,394.1379,98.1053
2023-02-28,169.78,289.3918,23.5219,384.2283,93.3466
2023-03-31,183.22,316.8629,23.2754,398.4746,97.864
2023-04-30,184.8,318.4722,23.0877,404.8402,98.1951
2023-05-31,182.32,343.58,22.1396,406.7091,95.2343
2023-06-30,178.27,365.2387,23.3171,433.0637,95.441
2023-07-31,182.35,379.3373,24.2932,447.2393,93.0127
2023-08-31,180.02,373.7118,23.9303,439.9708,90.0902
2023-09-30,171.45,354.7277,22.9243,419.101,82.927
2023-10-31,184.09,347.4009,22.0496,410.0029,78.3966
2023-11-30,188.75,384.9855,23.4395,447.4541,86.1765
2023-12-31,191.17,406.4945,24.9173,467.8828,93.6616
2024-01-31,188.45,413.8895,24.9533,475.3345,91.5588
2024-02-29,189.31,435.7568,25.4115,500.1407,89.4967
2024-03-31,205.72,441.3125,26.3902,516.4963,90.1973
2024-04-30,211.87,422.0105,25.1988,495.6714,84.3747
2024-05-31,215.3,447.9718,25.7159,520.7422,86.8106
2024-06-30,215.01,476.9561,25.4508,539.1141,88.388
2024-07-31,226.55,468.9523,27.0284,545.6423,91.5965
2024-08-31,231.29,474.1289,27.6666,558.3915,93.5303
2024-09-30,243.06,486.5587,27.6666,570.1204,95.4004
2024-10-31,253.51,482.3517,27.719,565.0329,90.1964
2024-11-30,245.59,508.1615,28.9955,598.7277,91.9888
2024-12-31,242.13,510.4688,27.0757,584.3223,86.119
2025-01-31,258.56,521.5123,27.5811,600.015,86.543
2025-02-28,263.27,507.4133,28.2847,592.3979,91.4734
2025-03-31,288.14,468.92,27.96,559.39,90.3715
2025-04-30,303.77,475.47,25.82,554.54,89.142
