Date,DBC,GLD,IEF,QQQ,SCHD,SPY,TLT
2012-01,24.320405960083008,169.31,81.36529541015625,53.7814,7.2145,103.4603,85.202
2012-02,25.62250518798828,164.29,80.47044372558594,57.2288,7.4205,107.951,82.9893
2012-03,25.168079376220703,162.12,79.1899642944336,60.1206,7.5615,111.4231,79.4739
2012-04,24.82726287841797,161.88,81.17694854736328,59.4175,7.5534,110.6793,83.3158
2012-05,22.057024002075195,151.62,83.50630950927734,55.2344,7.266,104.0324,90.8354
2012-06,22.502710342407227,155.19,83.16041564941406,57.2347,7.5263,108.2541,89.311
2012-07,23.81354713439941,156.49,84.3255844116211,57.8056,7.7106,109.5347,92.7203
2012-08,25.15934181213379,164.22,84.22663879394531,60.8029,7.7567,112.2788,91.4974
2012-09,25.06321144104004,171.89,83.9333267211914,61.3431,7.8506,115.1253,89.1799
2012-10,24.08445167541504,166.83,83.60091400146484,58.1046,7.7769,113.0301,88.7483
2012-11,24.55635452270508,166.05,84.4195556640625,58.8651,7.8124,113.6698,89.7771
2012-12,24.276708602905277,162.02,83.62565612792969,58.5902,7.7387,114.6854,87.5437
2013-01,24.87969398498535,161.2,82.54425048828125,60.1555,8.1674,120.5562,84.7551
2013-02,23.70867919921875,153.0,83.4791259765625,60.3624,8.3394,122.0944,85.805
2013-03,23.86598014831543,154.45,83.71853637695312,62.1882,8.6807,126.7305,85.4451
2013-04,22.95713424682617,142.77,84.99547576904297,63.7661,8.9401,129.1651,89.4481
2013-05,22.59883689880371,133.92,82.35637664794922,66.0473,9.0658,132.2148,83.4005
2013-06,21.96089744567871,119.11,80.25941467285156,64.4653,8.9911,130.4504,80.6723
2013-07,22.660011291503903,127.96,79.97640991210938,68.5357,9.4036,137.1917,78.8507
2013-08,23.297950744628903,134.62,78.83861541748047,68.2644,9.0709,133.077,77.7938
2013-09,22.51144790649414,128.18,80.29415893554688,71.563,9.3146,137.2884,78.3008
2013-10,22.502710342407227,127.74,80.91869354248047,75.1103,9.7796,143.6458,79.4209
2013-11,22.292978286743164,120.7,80.20957946777344,77.7776,10.0287,147.9031,77.2739
2013-12,22.424060821533203,116.12,78.53274536132812,80.0542,10.1478,151.7377,75.8292
2014-01,21.74242401123047,120.09,80.93841552734375,78.5161,9.6966,146.3892,80.6085
2014-02,22.83478736877441,127.62,81.22769165039062,82.5616,10.073,153.0522,81.0309
2014-03,22.826051712036133,123.61,80.7719497680664,80.3047,10.2701,154.3219,81.6242
2014-04,23.079479217529297,124.22,81.38448333740234,80.0482,10.4568,155.3947,83.3344
2014-05,22.74740219116211,120.43,82.87004852294922,83.6389,10.5962,159.0008,85.7924
2014-06,23.2280387878418,128.04,82.69043731689453,86.2516,10.7402,162.2834,85.5768
2014-07,22.126935958862305,123.39,82.50804901123047,87.2711,10.555,160.1027,86.1452
2014-08,21.87350845336914,123.86,84.05944061279297,91.6429,10.917,166.4209,90.2145
2014-09,20.291763305664062,116.21,83.1772689819336,90.9495,10.8216,164.1249,88.3089
2014-10,19.505260467529297,112.66,84.45507049560547,93.3524,11.0349,167.9902,90.7979
2014-11,17.844867706298828,112.11,85.5434341430664,97.5965,11.3633,172.6052,93.4922
2014-12,16.123300552368164,113.58,85.65412902832031,95.4097,11.2604,172.1674,96.532
2015-01,15.205714225769045,123.45,89.33922576904297,93.423,10.91,167.0662,106.0073
2015-02,15.87861156463623,116.16,87.1310043334961,100.1687,11.4808,176.4561,99.5002
2015-03,14.91733169555664,113.66,87.87688446044922,97.8057,11.1361,173.6847,100.587
2015-04,15.983480453491213,113.47,87.32064819335938,99.6859,11.2208,175.3927,97.1417
2015-05,15.4766206741333,114.1,86.95711517333984,101.9273,11.2773,177.6476,94.8371
2015-06,15.73005199432373,112.37,85.53893280029297,99.3953,10.8196,174.0392,90.9753
2015-07,13.746315956115724,104.93,86.83773803710938,103.9255,10.8959,177.9706,95.111
2015-08,13.711359977722168,108.82,86.90637969970703,96.8331,10.3166,167.1233,94.4552
2015-09,13.239459037780762,106.86,88.27880096435547,94.6957,10.1584,162.8589,96.313
2015-10,13.28315258026123,109.3,87.71652221679688,105.4626,11.0485,176.7117,95.9193
2015-11,12.400522232055664,101.92,87.34137725830078,106.1046,11.0795,177.3576,95.0871
2015-12,11.675192832946776,101.46,86.9457015991211,104.4125,10.9742,174.2924,94.8045
2016-01,11.168335914611816,106.95,89.8441390991211,97.1972,10.7237,165.615,100.088
2016-02,11.142118453979492,118.64,91.17923736572266,95.6757,10.8034,165.4782,103.1767
2016-03,11.614019393920898,117.64,91.11896514892578,102.232,11.4096,176.6093,103.0803
2016-04,12.741339683532717,123.65,90.97672271728516,98.9741,11.3897,177.3053,102.3212
2016-05,12.854947090148926,116.06,90.88642120361328,103.2992,11.549,180.3216,103.1453
2016-06,13.41423797607422,126.47,93.69265747070312,100.946,11.7938,180.9483,110.2976
2016-07,12.479172706604004,128.98,93.92359924316406,108.1645,12.1296,187.5477,112.6166
2016-08,12.575300216674805,124.78,92.97359466552734,109.3003,12.0898,187.7723,111.4752
