Portfolio,Annualized Return,Annualized Volatility
1,0.0698354459174293,0.0858732050163074
2,0.06970531143416858,0.08655830309800526
3,0.08046198309017116,0.1117949409660074
4,0.0926926711247511,0.17938759598599432
5,0.09407267810386943,0.22949102750145345
6,0.09192433288652402,0.21041739168314805
7,0.08925307795646442,0.19181170532701486
8,0.08606939762002597,0.17382429760199666
9,0.09553335195848578,0.16796527382017692
10,0.09441014168069661,0.15138331139703295
11,0.0924980052122748,0.13801956633739074
12,0.08658680004643693,0.1546015869358022
13,0.08370210301956282,0.1450005964915349
14,0.08064484050061793,0.1359023114082953
15,0.07741752030874594,0.1274144672818491
16,0.08284838644618664,0.162216987997065
17,0.07751680453000143,0.1429514460632511
18,0.07142099105294131,0.12652362014586604
19,0.07046261639871321,0.11281264032044029
