Portfolio ID,SPY,QQQ,TLT,GLD,SCHD
1,0.214,0.2549,0.1464,0.1908,0.1939
2,0.1983,0.2177,0.1561,0.2038,0.2241
3,0.2507,0.2987,0,0.2235,0.2271
4,0,0.12,0.25,0.35,0.28
5,0.4,0.25,0.05,0.05,0.25
6,0,0.1,0.04,0.6,0.26
7,0,0.4,0.1,0.1,0.4
8,0.2,0,0.25,0.25,0.3
9,0.2,0.5,0.1,0.1,0.1
10,0.2,0,0.5,0.3,0
11,0.4,0.3,0.05,0.05,0.2
12,0,0.72,0.05,0.05,0.18
13,0,0.63,0.05,0.05,0.27
14,0,0.54,0.05,0.05,0.36
15,0,0.45,0.05,0.05,0.45
16,0,0.36,0.05,0.05,0.54
17,0,0.72,0.1,0.1,0.08
18,0,0.64,0.1,0.1,0.16
19,0,0.56,0.1,0.1,0.24
20,0,0.48,0.1,0.1,0.32
21,0,0.4,0.1,0.1,0.4
22,0,0.3243,0.1862,0.2428,0.2467
23,0.2501,0,0.2167,0.2485,0.2847
24,0.2579,0.2625,0.2234,0.2562,0
