Portfolio ID,TLT,QQQ,SPY,SCHD,GLD
Aggressive_1,0.1809,0.315,0.2645,0.2396,0.0
Aggressive_2,0.1464,0.2549,0.214,0.1939,0.1908
Aggressive_3,0.1464,0.2549,0.214,0.1939,0.1908
Aggressive_4,0.1862,0.3243,0.0,0.2467,0.2428
Aggressive_5,0.1464,0.2549,0.214,0.1939,0.1908
Aggressive_6,0.1464,0.2549,0.214,0.1939,0.1908
Aggressive_7,0.1464,0.2549,0.214,0.1939,0.1908
Aggressive_8,0.1464,0.2549,0.214,0.1939,0.1908
Aggressive_9,0.1464,0.2549,0.214,0.1939,0.1908
Aggressive_10,0.1464,0.2549,0.214,0.1939,0.1908
Aggressive_11,0.1816,0.3162,0.2655,0.0,0.2367
Aggressive_12,0.1464,0.2549,0.214,0.1939,0.1908
Aggressive_13,0.1464,0.2549,0.214,0.1939,0.1908
Aggressive_14,0.1809,0.315,0.2645,0.2396,0.0
Aggressive_15,0.1464,0.2549,0.214,0.1939,0.1908
Aggressive_16,0.1464,0.2549,0.214,0.1939,0.1908
Aggressive_17,0.1464,0.2549,0.214,0.1939,0.1908
Aggressive_18,0.1965,0.0,0.2872,0.2602,0.2561
Aggressive_19,0.0,0.2987,0.2507,0.2271,0.2235
Aggressive_20,0.1464,0.2549,0.214,0.1939,0.1908
