Date,Monthly Close
2004-11-30,45.1200
2004-12-31,43.8000
2005-01-31,42.2200
2005-02-28,43.5300
2005-03-31,42.8200
2005-04-30,43.3500
2005-05-31,41.6500
2005-06-30,43.4400
2005-07-31,42.8200
2005-08-31,43.4000
2005-09-30,46.7000
2005-10-31,46.4000
2005-11-30,49.1000
2005-12-31,51.5800
2006-01-31,56.7000
2006-02-28,56.0700
2006-03-31,58.1000
2006-04-30,65.0900
2006-05-31,64.2300
2006-06-30,61.2300
2006-07-31,63.1600
2006-08-31,62.2900
2006-09-30,59.4700
2006-10-31,60.2400
2006-11-30,64.3900
2006-12-31,63.2100
2007-01-31,64.8300
2007-02-28,66.4800
2007-03-31,65.7400
2007-04-30,67.0900
2007-05-31,65.5400
2007-06-30,64.2700
2007-07-31,65.7900
2007-08-31,66.5200
2007-09-30,73.5100
2007-10-31,78.6200
2007-11-30,77.3200
2007-12-31,82.4600
2008-01-31,91.4000
2008-02-29,96.1800
2008-03-31,90.4100
2008-04-30,86.6500
2008-05-31,87.4500
2008-06-30,91.4000
2008-07-31,90.0800
2008-08-31,81.7100
2008-09-30,85.0700
2008-10-31,71.3400
2008-11-30,80.3100
2008-12-31,86.5200
2009-01-31,91.3100
2009-02-28,92.6300
2009-03-31,90.2800
2009-04-30,87.2700
2009-05-31,96.2000
2009-06-30,91.1800
2009-07-31,93.3500
2009-08-31,93.4000
2009-09-30,98.8500
2009-10-31,102.5300
2009-11-30,115.6400
2009-12-31,107.3100
2010-01-31,105.9600
2010-02-28,109.4300
2010-03-31,108.9500
2010-04-30,115.3600
2010-05-31,118.8800
2010-06-30,121.6800
2010-07-31,115.4900
2010-08-31,122.0800
2010-09-30,127.9100
2010-10-31,132.6200
2010-11-30,135.4200
2010-12-31,138.7200
2011-01-31,129.8700
2011-02-28,137.6600
2011-03-31,139.8600
2011-04-30,152.3700
2011-05-31,149.6400
2011-06-30,146.0000
2011-07-31,158.2900
2011-08-31,177.7200
2011-09-30,158.0600
2011-10-31,167.3400
2011-11-30,170.1300
2011-12-31,151.9900
2012-01-31,169.3100
2012-02-29,164.2900
2012-03-31,162.1200
2012-04-30,161.8800
2012-05-31,151.6200
2012-06-30,155.1900
2012-07-31,156.4900
2012-08-31,164.2200
2012-09-30,171.8900
2012-10-31,166.8300
2012-11-30,166.0500
2012-12-31,162.0200
2013-01-31,161.2000
2013-02-28,153.0000
2013-03-31,154.4500
2013-04-30,142.7700
2013-05-31,133.9200
2013-06-30,119.1100
2013-07-31,127.9600
2013-08-31,134.6200
2013-09-30,128.1800
2013-10-31,127.7400
2013-11-30,120.7000
2013-12-31,116.1200
2014-01-31,120.0900
2014-02-28,127.6200
2014-03-31,123.6100
2014-04-30,124.2200
2014-05-31,120.4300
2014-06-30,128.0400
2014-07-31,123.3900
2014-08-31,123.8600
2014-09-30,116.2100
2014-10-31,112.6600
2014-11-30,112.1100
2014-12-31,113.5800
2015-01-31,123.4500
2015-02-28,116.1600
2015-03-31,113.6600
2015-04-30,113.4700
2015-05-31,114.1000
2015-06-30,112.3700
2015-07-31,104.9300
2015-08-31,108.8200
2015-09-30,106.8600
2015-10-31,109.3000
2015-11-30,101.9200
2015-12-31,101.4600
2016-01-31,106.9500
2016-02-29,118.6400
2016-03-31,117.6400
2016-04-30,123.6500
2016-05-31,116.0600
2016-06-30,126.4700
2016-07-31,128.9800
2016-08-31,124.7800
2016-09-30,125.6400
2016-10-31,121.9400
2016-11-30,111.7500
2016-12-31,109.6100
2017-01-31,115.5500
2017-02-28,119.2300
2017-03-31,118.7200
2017-04-30,120.7700
2017-05-31,120.6200
2017-06-30,118.0200
2017-07-31,120.7500
2017-08-31,125.8200
2017-09-30,121.5800
2017-10-31,120.6700
2017-11-30,121.1000
2017-12-31,123.6500
2018-01-31,127.6500
2018-02-28,125.0000
2018-03-31,125.7900
2018-04-30,124.5900
2018-05-31,123.1000
2018-06-30,118.6500
2018-07-31,115.9900
2018-08-31,113.5100
2018-09-30,112.7600
2018-10-31,115.1500
2018-11-30,115.5400
2018-12-31,121.2500
2019-01-31,124.7500
2019-02-28,123.9900
2019-03-31,122.0100
2019-04-30,121.2000
2019-05-31,123.3300
2019-06-30,133.2000
2019-07-31,133.2100
2019-08-31,143.7500
2019-09-30,138.8700
2019-10-31,142.4300
2019-11-30,137.8600
2019-12-31,142.9000
2020-01-31,149.3300
2020-02-29,148.3800
2020-03-31,148.0500
2020-04-30,158.8000
2020-05-31,162.9100
2020-06-30,167.3700
2020-07-31,185.4300
2020-08-31,184.8300
2020-09-30,177.1200
