Combination,Weight1,Weight2,Annual Return (%),Annual Volatility (%)
QQQ-SCHD,0.0,1.0,9.92667321458399,12.256566109674996
QQQ-SCHD,0.1,0.9,10.750007729617687,12.046985987643115
QQQ-SCHD,0.2,0.8,11.590183543245686,11.940759462249794
QQQ-SCHD,0.3,0.7,12.447367541614364,12.000316207948751
QQQ-SCHD,0.4,0.6,13.32172818759265,12.204961921821672
QQQ-SCHD,0.5,0.5,14.21343567950671,12.520797451616875
QQQ-SCHD,0.6,0.4,15.122662104549969,12.941884103266894
QQQ-SCHD,0.7,0.3,16.049581586936995,13.458706192995814
QQQ-SCHD,0.8,0.1999999999999999,16.994370430869218,14.05972866020632
QQQ-SCHD,0.9,0.0999999999999999,17.95720725838064,14.732946835838808
QQQ-SCHD,1.0,0.0,18.9382731421311,15.467070888411202
QQQ-SPY,0.0,1.0,9.17913033097846,13.91854365755401
QQQ-SPY,0.1,0.9,9.623309581325117,14.340346693396022
QQQ-SPY,0.2,0.8,10.075017643361967,14.833637894276864
QQQ-SPY,0.3,0.7,10.53497655013505,15.386619152085393
QQQ-SPY,0.4,0.6,11.003901705278476,15.989374987623226
QQQ-SPY,0.5,0.5,11.482500963847436,16.63400417515106
QQQ-SPY,0.6,0.4,11.971473760781702,17.314332981683865
QQQ-SPY,0.7,0.3,12.471510287333208,18.02552995503181
QQQ-SPY,0.8,0.1999999999999999,12.983290715706996,18.76376326400965
QQQ-SPY,0.9,0.0999999999999999,13.50748447208393,19.525937130284916
QQQ-SPY,1.0,0.0,14.044749558113669,20.30950136319053
QQQ-TLT,0.0,1.0,4.549093013931754,12.974593198964984
QQQ-TLT,0.1,0.9,5.670399567909149,11.422891792709423
QQQ-TLT,0.2,0.8,6.824650545940759,10.20889385353871
QQQ-TLT,0.3,0.7,8.011870399404476,9.616791426585282
QQQ-TLT,0.4,0.6,9.232102400502251,9.638993270343455
QQQ-TLT,0.5,0.5,10.48541334947844,10.217591091559852
QQQ-TLT,0.6,0.4,11.771898228823792,11.26596032801079
QQQ-TLT,0.7,0.3,13.091684797871226,12.666991644333168
QQQ-TLT,0.8,0.1999999999999999,14.44493812148218,14.310115299701271
QQQ-TLT,0.9,0.0999999999999999,15.831865026809927,16.11601188620172
QQQ-TLT,1.0,0.0,17.252718482414256,18.03423760491449
QQQ-GLD,0.0,1.0,10.002066449379535,16.023497023867794
QQQ-GLD,0.1,0.9,10.59201549331788,14.547620287028115
QQQ-GLD,0.2,0.8,11.184182311448652,13.318132066049737
QQQ-GLD,0.3,0.7,11.77959043074522,12.409047023121625
QQQ-GLD,0.4,0.6,12.379256693218808,11.898307687563054
QQQ-GLD,0.5,0.5,12.984190984352235,11.840122516070965
QQQ-GLD,0.6,0.4,13.59539607539734,12.222430843488596
QQQ-GLD,0.7,0.3,14.213867580681146,12.991864937962136
QQQ-GLD,0.8,0.1999999999999999,14.840594030672523,14.08214881882834
QQQ-GLD,0.9,0.0999999999999999,15.476557061157328,15.426953008963707
QQQ-GLD,1.0,0.0,16.12273171845959,16.970306124398547
SCHD-SPY,0.0,1.0,13.66575253971587,12.52964652577948
SCHD-SPY,0.1,0.9,13.280039660087626,12.33069599197743
SCHD-SPY,0.2,0.8,12.896954480475245,12.162574196619982
SCHD-SPY,0.3,0.7,12.516495984035211,12.027200276397677
SCHD-SPY,0.4,0.6,12.138662798674911,11.926178930841331
SCHD-SPY,0.5,0.5,11.763453195550024,11.860571235316115
SCHD-SPY,0.6,0.4,11.39086508743186,11.830677776763244
SCHD-SPY,0.7,0.3,11.020896026944357,11.840976813737235
SCHD-SPY,0.8,0.1999999999999999,10.653543204669482,11.948430624370696
SCHD-SPY,0.9,0.0999999999999999,10.288803447120785,12.087705774081474
SCHD-SPY,1.0,0.0,9.92667321458399,12.256566109674996
SCHD-TLT,0.0,1.0,1.325343660642612,12.13681148744908
SCHD-TLT,0.1,0.9,2.2055721193204856,10.932565874697502
SCHD-TLT,0.2,0.8,3.0815309696491098,9.894134041023111
SCHD-TLT,0.3,0.7,3.953107433424695,9.088559020320435
SCHD-TLT,0.4,0.6,4.820210325521956,8.580281552493222
SCHD-TLT,0.5,0.5,5.682770769702263,8.410068478368169
SCHD-TLT,0.6,0.4,6.540742895068649,8.592874834843911
SCHD-TLT,0.7,0.3,7.394104512007882,9.113583201286788
SCHD-TLT,0.8,0.1999999999999999,8.242857766471209,9.976115826429096
SCHD-TLT,0.9,0.0999999999999999,9.08702977145847,11.044511001581432
SCHD-TLT,1.0,0.0,9.92667321458399,12.256566109674996
SCHD-GLD,0.0,1.0,5.016323743255983,15.525876008942078
SCHD-GLD,0.1,0.9,5.502227217808301,14.094623775058704
SCHD-GLD,0.2,0.8,5.987156859534789,12.825856256252951
SCHD-GLD,0.3,0.7,6.471869483717437,11.766170713480156
SCHD-GLD,0.4,0.6,6.957143041727995,10.96171607431048
SCHD-GLD,0.5,0.5,7.443776191431736,10.44722101956667
SCHD-GLD,0.6,0.4,7.932587816881448,10.24009506210052
SCHD-GLD,0.7,0.3,8.424416494807923,10.33889665075352
SCHD-GLD,0.8,0.1999999999999999,8.920119905342592,10.72800007305055
SCHD-GLD,0.9,0.0999999999999999,9.42057418433829,11.38091937258034
SCHD-GLD,1.0,0.0,9.92667321458399,12.256566109674996
SPY-TLT,0.0,1.0,4.549093013931754,12.974593198964984
SPY-TLT,0.1,0.9,5.1551708869390165,11.498858489045745
SPY-TLT,0.2,0.8,5.780080266824147,10.200674794068275
SPY-TLT,0.3,0.7,6.423179784830084,9.184671055479166
SPY-TLT,0.4,0.6,7.083852245103188,8.5951189916498
SPY-TLT,0.5,0.5,7.76150585384763,8.52399413607785
SPY-TLT,0.6,0.4,8.455575383550796,8.966168207193034
SPY-TLT,0.7,0.3,9.165523271148537,9.830373935144689
SPY-TLT,0.8,0.1999999999999999,9.890840649002737,10.99041818395053
SPY-TLT,0.9,0.0999999999999999,10.631048307568635,12.350624631501264
SPY-TLT,1.0,0.0,11.385697588634706,13.849192546220529
SPY-GLD,0.0,1.0,10.002066449379535,16.023497023867794
SPY-GLD,0.1,0.9,10.110776797457222,14.541753308967136
SPY-GLD,0.2,0.8,10.213027914705624,13.230360698674067
SPY-GLD,0.3,0.7,10.30960356172732,12.142126813595135
SPY-GLD,0.4,0.6,10.401299594703682,11.334248626405016
SPY-GLD,0.5,0.5,10.48892391748177,10.862126582631392
SPY-GLD,0.6,0.4,10.573296426618429,10.7597310253684
SPY-GLD,0.7,0.3,10.655248946287642,11.01682118958896
SPY-GLD,0.8,0.1999999999999999,10.735625149885616,11.60527376240212
SPY-GLD,0.9,0.0999999999999999,10.815280465096864,12.490980565328446
SPY-GLD,1.0,0.0,10.89508195911644,13.632072171320718
TLT-GLD,0.0,1.0,10.002066449379535,16.023497023867794
TLT-GLD,0.1,0.9,9.408866052691865,14.77293835183592
TLT-GLD,0.2,0.8,8.818298250964444,13.646269901325676
TLT-GLD,0.3,0.7,8.230234852510296,12.674239941356516
TLT-GLD,0.4,0.6,7.644547049586114,11.89402156760716
TLT-GLD,0.5,0.5,7.061105568465711,11.34823382757402
TLT-GLD,0.6,0.4,6.479780814984134,11.079622309066904
TLT-GLD,0.7,0.3,5.900443015509769,11.119905294757782
TLT-GLD,0.8,0.1999999999999999,5.322962353308402,11.476333217941596
TLT-GLD,0.9,0.0999999999999999,4.747209100267456,12.1227583324503
TLT-GLD,1.0,0.0,4.173053743955927,13.008519557740012
