Combination,Weight1,Weight2,Annual Return,Annual Volatility,Min Value,1st Quartile,Median,3rd Quartile,IQR,Max Value,Variance
QQQ-SCHD,0,10,9.92667321458399,12.256566109674996,125.46501482787455,146.30243507508845,157.7945008708589,200.2639977568847,53.961562681796266,250.3032950336853,1233.8208178389475
QQQ-SCHD,1,9,10.750007729617687,12.046985987643115,143.93923593872432,166.60228015288052,178.79057795153528,216.8022692589424,50.19998910606188,281.4793382601196,1296.7873632076746
QQQ-SCHD,2,8,11.590183543245686,11.940759462249794,163.51814577390144,188.3421071066486,200.80904243716944,232.454957750432,44.11285064378336,315.00313946612266,1390.563314293305
QQQ-SCHD,3,7,12.447367541614364,12.000316207948751,184.2293722789659,211.40617772365937,225.87471047881616,249.07471752890893,37.668539805249566,351.0106728945557,1527.9960504194555
QQQ-SCHD,4,6,13.32172818759265,12.204961921821672,206.0976072479776,237.5779696563696,251.896808036047,265.8398343831482,28.261864726778583,389.6421329544536,1725.0918882884246
QQQ-SCHD,5,5,14.21343567950671,12.520797451616875,229.1442286737075,264.96589158118195,276.7150480590849,288.20169591267273,23.235804331490783,431.0417348590289,2001.5250158618064
QQQ-SCHD,6,4,15.122662104549969,12.941884103266894,253.38691683168037,291.5475124128705,300.6903896330449,316.9422687526171,25.394756339746607,475.3574778714005,2381.1956186326743
QQQ-SCHD,7,3,16.049581586936995,13.458706192995814,276.4518470005806,315.7562983363172,328.0267813558162,347.64599025356495,31.889691917247774,522.7408692737815,2892.8380392342265
QQQ-SCHD,8,2,16.994370430869218,14.05972866020632,293.5161459361646,342.23727916706946,356.8447538475087,379.4280830773549,37.19080391028547,573.3466072726126,3570.679329684749
QQQ-SCHD,9,1,17.95720725838064,14.732946835838808,310.86505553756683,364.6822632090236,389.6196863673303,412.5024552538631,47.82019204483953,627.3322211705336,4455.1480265305
QQQ-SCHD,10,0,18.9382731421311,15.467070888411202,328.46861870149775,393.7646435441774,420.4392098327568,447.9727484151207,54.20810487094332,684.8576672770554,5593.632405612651
QQQ-SPY,0,10,9.17913033097846,13.91854365755401,-26.77387871856658,92.97466789906696,116.27073829720447,236.4801188910101,143.50545099194318,362.3048005575093,10053.358386856276
QQQ-SPY,1,9,9.623309581325117,14.340346693396022,-26.97427482731985,101.08550873159372,124.55431418458396,252.30302419994047,151.2175154683468,384.7778621213987,11505.694978283358
QQQ-SPY,2,8,10.075017643361967,14.833637894276864,-27.47037323707964,108.63536445626536,132.99258704852392,270.9438147516561,162.3084502953907,412.2303668113433,13148.038213809712
QQQ-SPY,3,7,10.53497655013505,15.386619152085393,-29.353578103207056,117.63835750679849,141.68148058594542,288.1714718645659,170.53311435776743,441.1400402884581,15000.103280103707
QQQ-SPY,4,6,11.003901705278476,15.989374987623226,-33.33648516742122,124.16426481891853,151.82178849806033,308.6405856018822,184.47632078296368,471.42505219179753,17083.15021287222
QQQ-SPY,5,5,11.482500963847436,16.63400417515106,-37.27701672297996,131.75513253505432,162.69992143575558,327.9407787927059,196.1856462576516,503.1350637060726,19420.08652803178
QQQ-SPY,6,4,11.971473760781702,17.314332981683865,-41.15773306086099,137.81769965073715,175.09821907999793,345.3599086034113,207.54220895267417,536.3206171225526,22035.578490907534
QQQ-SPY,7,3,12.471510287333208,18.02552995503181,-44.96249158263136,143.90780857742143,187.7706160399423,364.0356664681025,220.1278578906811,571.0330973319731,24956.171701458705
QQQ-SPY,8,2,12.983290715706996,18.76376326400965,-48.67653239547435,150.30396975131694,200.9875601761121,381.9807788228548,231.6768090715378,607.3246893958003,28210.42160782936
QQQ-SPY,9,1,13.50748447208393,19.52593713028492,-52.53738336495952,155.68426571564476,214.6208932711448,403.1239817146536,247.43971599900885,645.2483320845199,31829.034469903418
QQQ-SPY,10,0,14.044749558113669,20.30950136319053,-56.857385180533406,160.98629703709665,228.67264731232683,427.4955848210925,266.5092877839958,684.8576672770554,35845.01918065437
QQQ-TLT,0,10,4.549093013931754,12.974593198964984,-18.36128893610438,42.74695447001334,88.49845150517162,101.35440596037344,58.6074514903601,144.8568374382779,1800.7363207823776
