Combination,Weight1,Weight2,Annual Return,Annual Volatility,Min Value,1st Quartile,Median,3rd Quartile,IQR,Max Value,Variance,Return-to-Volatility Ratio,Range,Range-to-Variance Ratio
QQQ-SCHD,10,0,18.93827314,15.46707089,328.4686187,393.7646435,420.4392098,447.9727484,54.20810487,684.8576673,5593.632406,1.224425315,356.3890486,0.063713348
QQQ-SCHD,9,1,17.95720726,14.73294684,310.8650555,364.6822632,389.6196864,412.5024553,47.82019204,627.3322212,4455.148027,1.218846946,316.4671656,0.071034041
QQQ-SCHD,8,2,16.99437043,14.05972866,293.5161459,342.2372792,356.8447538,379.4280831,37.19080391,573.3466073,3570.67933,1.208726771,279.8304613,0.07836897
QQQ-SCHD,7,3,16.04958159,13.45870619,276.451847,315.7562983,328.0267814,347.6459903,31.88969192,522.7408693,2892.838039,1.192505532,246.2890223,0.085137508
QQQ-SCHD,6,4,15.1226621,12.9418841,253.3869168,291.5475124,300.6903896,316.9422688,25.39475634,475.3574779,2381.195619,1.16850545,221.970561,0.093218112
QQQ-SCHD,5,5,14.21343568,12.52079745,229.1442287,264.9658916,276.7150481,288.2016959,23.23580433,431.0417349,2001.525016,1.135186136,201.8975062,0.100871838
QQQ-GLD,6,4,13.59539608,12.22243084,143.5348703,184.3219407,217.7585619,251.9805476,67.65860685,318.1315937,1721.397223,1.112331602,174.5967234,0.10142733
QQQ-GLD,5,5,12.98419098,11.84012252,108.8744117,163.4710321,183.5035685,209.8222658,46.3512337,288.9263241,1222.336664,1.096626404,180.0519124,0.147301409
QQQ-GLD,7,3,14.21386758,12.99186494,160.1692321,203.9182839,257.5389471,305.1490943,101.2308105,387.5694388,3083.187973,1.094059063,227.4002067,0.073754895
QQQ-SCHD,4,6,13.32172819,12.20496192,206.0976072,237.5779697,251.896808,265.8398344,28.26186473,389.642133,1725.091888,1.091501004,183.5445257,0.106396956
SCHD-SPY,0,10,13.66575254,12.52964653,185.4263398,221.2980539,232.2913041,247.0002006,25.70214668,358.3430005,1451.951905,1.090673429,172.9166607,0.119092554
SCHD-SPY,1,9,13.28003966,12.33069599,179.1988101,214.0249524,225.2551187,239.0659729,25.04102042,346.6101023,1366.547884,1.076990275,167.4112922,0.122506715
