Portfolio,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio
1,0.0698354459174293,0.0858732050163074,0.5928506722405005,0.8523153940972894
2,0.06970531143416858,0.08655830309800526,0.5873350601493347,0.8392925771330056
3,0.08046198309017116,0.1117949409660074,0.5679004322746343,0.7922651434960517
4,0.0926926711247511,0.17938759598599432,0.4728133177222251,0.6582192111402891
5,0.09407267810386943,0.22949102750145345,0.4207371575031768,0.5611550127555799
6,0.09192433288652402,0.21041739168314805,0.4288454689183423,0.577019613672013
7,0.08925307795646442,0.19181170532701486,0.4374878535061954,0.595517152610442
8,0.08606939762002597,0.17382429760199666,0.4463776670195711,0.6159733470892067
9,0.09553335195848578,0.16796527382017692,0.5083645013697067,0.6956963991685862
10,0.09441014168069661,0.15138331139703295,0.5395470106928973,0.7580617490896597
11,0.0924980052122748,0.13801956633739074,0.5650015093968184,0.8251548173943432
12,0.08658680004643693,0.1546015869358022,0.4853631530770678,0.6781272944695537
13,0.08370210301956282,0.1450005964915349,0.4887600264195885,0.6901030487456788
14,0.08064484050061793,0.1359023114082953,0.4908002897440169,0.7041997762799735
15,0.07741752030874594,0.1274144672818491,0.4907555900424472,0.7084108419818922
16,0.08284838644618664,0.162216987997065,0.4479416958261629,0.5939867860401238
17,0.07751680453000143,0.1429514460632511,0.4525797840666168,0.6003749667782038
18,0.07142099105294131,0.12652362014586604,0.4484046785777718,0.6050543389695018
19,0.07046261639871321,0.11281264032044029,0.4802994878322222,0.689152312239552
