Portfolio,Sharpe Ratio,Sortino Ratio
1,0.5928506722405005,0.8523153940972894
2,0.5873350601493347,0.8392925771330056
3,0.5679004322746343,0.7922651434960517
4,0.4728133177222251,0.6582192111402891
5,0.42073715750317686,0.5611550127555799
6,0.4288454689183423,0.577019613672013
7,0.43748785350619546,0.595517152610442
8,0.4463776670195711,0.6159733470892067
9,0.5083645013697067,0.6956963991685862
10,0.5395470106928973,0.7580617490896597
11,0.5650015093968184,0.8251548173943432
12,0.4853631530770678,0.6781272944695537
13,0.48876002641958854,0.6901030487456788
14,0.49080028974401696,0.7041997762799735
15,0.4907555900424472,0.7084108419818922
16,0.44794169582616294,0.5939867860401238
17,0.45257978406661686,0.6003749667782038
18,0.4484046785777718,0.6050543389695018
19,0.4802994878322222,0.689152312239552
