Portfolio ID,SPY,QQQ,TLT,GLD,SCHD
1,0.25,0.53,0,0.22,0
2,0.15,0.63,0,0.12,0.1
3,0.05,0.73,0,0.02,0.2
4,0.7,0,0,0.3,0
5,0,0.433,0,0.567,0
6,0.2501,0,0.2167,0.2485,0.2847
7,0.3926,0,0.1854,0.164,0.258
8,0.2501,0.1,0.1167,0.1485,0.3847
9,0,0,0.22,0.25,0.53
10,0,0,0.32,0.4,0.28
11,0,0.1,0.04,0.6,0.26
12,0,0.12,0.25,0.35,0.28
13,0,0.3243,0.1862,0.2428,0.2467
14,0,0.36,0.05,0.05,0.54
15,0,0.4,0.1,0.1,0.4
16,0,0.45,0.05,0.05,0.45
17,0,0.48,0.1,0.1,0.32
18,0,0.5,0,0.5,0
19,0,0.5,0.5,0,0
20,0,0.54,0.05,0.05,0.36
21,0,0.56,0.1,0.1,0.24
22,0,0.6,0,0.4,0
23,0,0.6,0.4,0,0
24,0,0.63,0.05,0.05,0.27
25,0,0.64,0.1,0.1,0.16
26,0,0.7,0,0,0.3
27,0,0.7,0.3,0,0
28,0,0.72,0.05,0.05,0.18
29,0,0.72,0.1,0.1,0.08
30,0.05,0,0.22,0.25,0.48
31,0.05,0,0.3,0.37,0.28
32,0.1,0,0.22,0.25,0.43
33,0.1,0,0.28,0.34,0.28
34,0.15,0,0.22,0.25,0.38
35,0.15,0,0.26,0.31,0.28
36,0.1983,0.2177,0.1561,0.2038,0.2241
37,0.2,0,0.22,0.25,0.33
38,0.2,0,0.24,0.28,0.28
39,0.2,0,0.25,0.25,0.3
40,0.2,0,0.5,0.3,0
41,0.2,0.5,0.1,0.1,0.1
42,0.214,0.2549,0.1464,0.1908,0.1939
43,0.25,0,0.22,0.25,0.28
44,0.25,0.3,0,0.22,0.23
45,0.25,0.32,0,0.2,0.23
46,0.25,0.33,0,0.22,0.2
47,0.25,0.37,0,0.15,0.23
48,0.25,0.38,0,0.22,0.15
49,0.25,0.42,0,0.1,0.23
50,0.25,0.43,0,0.22,0.1
51,0.25,0.47,0,0.05,0.23
52,0.25,0.48,0,0.22,0.05
53,0.25,0.52,0,0,0.23
54,0.2507,0.2987,0,0.2235,0.2271
55,0.2579,0.2625,0.2234,0.2562,0
56,0.3501,0,0.3166,0.1486,0.1847
57,0.3919,0.009,0.1938,0.1462,0.2592
58,0.3926,0.1,0.0854,0.064,0.358
59,0.4,0.25,0.05,0.05,0.25
60,0.4,0.3,0.05,0.05,0.2
61,0.5,0,0,0,0.5
62,0.5098,0.1285,0.1541,0.1275,0.0801
63,0.7,0,0,0,0.3
64,0.8,0,0,0,0.2
65,0.9,0,0,0,0.1
66,1,0,0,0,0
