Date	Div*
03/26/25	0.249
12/11/24	0.265
09/25/24	0.252
06/26/24	0.275
03/20/24	0.204
12/06/23	0.247
09/20/23	0.218
06/21/23	0.222
03/22/23	0.199
12/07/22	0.234
09/21/22	0.212
06/22/22	0.235
03/23/22	0.173
12/08/21	0.207
09/22/21	0.196
06/23/21	0.180
03/24/21	0.168
12/10/20	0.201
09/23/20	0.181
06/24/20	0.147
03/25/20	0.147
12/12/19	0.155
09/25/19	0.162
06/26/19	0.140
03/20/19	0.117
12/12/18	0.135
09/25/18	0.122
06/26/18	0.135
03/16/18	0.087
12/18/17	0.115
09/18/17	0.115
06/19/17	0.110
03/20/17	0.109
12/19/16	0.133
09/19/16	0.081
06/20/16	0.106
03/21/16	0.099
12/21/15	0.091
09/21/15	0.100
06/22/15	0.102
03/23/15	0.090
12/22/14	0.092
09/22/14	0.085
06/23/14	0.090
03/24/14	0.083
12/23/13	0.083
09/23/13	0.077
06/24/13	0.075
03/18/13	0.066
12/24/12	0.086
09/17/12	0.069
06/18/12	0.069
03/19/12	0.046
