variable,pearson_corr,F,p_value
int_rate,0.26072724656740837,87219.488732657,0.0
term,0.18236388366259226,41138.50133182008,0.0
fico_score,-0.13139177169647873,21007.09122941542,0.0
dti,0.10074657660354289,12261.190247586399,0.0
mort_acc,-0.07241428710612609,6054.501346778225,0.0
sub_grade_A4,-0.06565292438099893,5176.669916557498,0.0
log_annual_inc,-0.06532364028043625,5124.653112723271,0.0
sub_grade_A5,-0.06520429809916585,5105.863849266807,0.0
sub_grade_A2,-0.06305257614761119,4773.117610537405,0.0
home_ownership_RENT,0.06241811887448083,4677.20536239075,0.0
loan_amnt,0.06193602021490451,4604.9224246351605,0.0
verification_status_Verified,0.061595509337302436,4554.216116636533,0.0
sub_grade_A3,-0.06005830749500965,4328.943580145205,0.0
sub_grade_E2,0.057561400881798425,3975.3068063471055,0.0
sub_grade_E4,0.056855073194170845,3878.029274334691,0.0
sub_grade_E1,0.05664949321615064,3849.9450347701527,0.0
sub_grade_B1,-0.05656961612050108,3839.05974464323,0.0
revol_util,0.05637104271077143,3809.925129715372,0.0
sub_grade_E3,0.05631377825863489,3804.3042208153397,0.0
sub_grade_E5,0.05564934338429517,3714.784457716716,0.0
sub_grade_B2,-0.05243116142803355,3296.404658550536,0.0
sub_grade_D4,0.05148512806846916,3178.2123711805025,0.0
sub_grade_F1,0.049441001508962835,2930.245918593088,0.0
sub_grade_D5,0.049430573364274796,2929.0046779881122,0.0
sub_grade_F2,0.0480882006218751,2771.7180291997215,0.0
earliest_cr_line,0.04670053986933541,2613.7169055579798,0.0
sub_grade_B3,-0.04586929007204048,2521.3107276831233,0.0
installment,0.04479152307423965,2403.9774602750235,0.0
sub_grade_D3,0.04476392840890259,2401.0079636399496,0.0
sub_grade_D2,0.04409006799317193,2329.127431861601,0.0
sub_grade_F3,0.04375280890776805,2293.562747807742,0.0
sub_grade_F4,0.0435268440396386,2269.888247985888,0.0
purpose_credit_card,-0.04049605025866959,1964.261024109065,0.0
sub_grade_F5,0.0404858410779048,1963.294021098522,0.0
sub_grade_D1,0.039719517727522996,1889.5553056945819,0.0
purpose_debt_consolidation,0.03635464654263842,1582.6058196915305,0.0
sub_grade_B4,-0.03339876331662574,1335.3993189695602,3.33093693230564e-292
open_acc,0.03330586546951457,1328.076478942088,1.2945622481173634e-290
sub_grade_C5,0.03287292787296625,1293.6399799984588,3.867367249807924e-283
sub_grade_G1,0.032143624648341765,1236.8162663610399,8.379440494296827e-271
sub_grade_C4,0.029639654855607264,1051.4629230760984,1.475264608948835e-230
sub_grade_G2,0.028513613977069807,973.025702503901,1.59837229555693e-213
pub_rec_bankruptcies,0.02721747263972512,885.9939612309261,1.282421902277064e-194
pub_rec,0.027024476591468307,873.9737979204081,5.2380851045422706e-192
sub_grade_G3,0.026158480263213386,818.8207749796643,5.02504572681589e-180
purpose_small_business,0.024452740500851014,715.4534135919633,1.4517641095603967e-157
sub_grade_G4,0.022550373630080663,608.4080072633269,2.683606836702059e-134
sub_grade_G5,0.022168249810424888,587.9533395474343,7.508799529942377e-130
verification_status_Source Verified,0.021426634920090237,549.2711185637902,1.9321256342134569e-121
sub_grade_B5,-0.021261733219217552,540.8274301287597,1.3245670323643167e-119
addr_state_CO,-0.015571694411374806,290.03042386190896,4.984435236829258e-65
sub_grade_C3,0.015531459155293565,288.53240216123294,1.0566840016045245e-64
addr_state_OR,-0.014876884412953014,264.7198175494143,1.6298702729884227e-59
addr_state_WA,-0.014467739161988239,250.3577401393343,2.1987952132994634e-56
purpose_home_improvement,-0.014397473427196108,247.93572614158552,7.414857118475987e-56
addr_state_NY,0.013580823379562842,220.5941705506127,6.780133542806308e-50
emp_length,-0.010663581399223203,128.41360824186975,9.146718769264663e-30
initial_list_status_w,0.01049238728837988,131.7114417268803,1.7366567256377392e-30
addr_state_MS,0.010397472009387506,129.29124081095517,5.8771106286241664e-30
addr_state_AL,0.01033896305364407,127.84069927634542,1.2204615625730138e-29
application_type_Joint App,0.010019544569936782,120.06218622847132,6.149644707131245e-28
addr_state_FL,0.009657019251908955,111.52647559870616,4.549080016755798e-26
addr_state_SC,-0.009469807335316507,107.24790985339368,3.9378797206100947e-25
addr_state_NH,-0.009348434968602007,104.51593171872851,1.562978273561432e-24
addr_state_IL,-0.008959663846645503,96.00154565383787,1.1501980012994686e-22
addr_state_DC,-0.008936686704307398,95.51106061065694,1.4735390189908188e-22
addr_state_OK,0.00885290914824941,93.72841075893119,3.6260781283774896e-22
addr_state_AR,0.00864864672312268,89.4530321056003,3.145428387531713e-21
purpose_wedding,-0.00855339357289937,87.49334218171174,8.47024930102246e-21
addr_state_LA,0.008352295255086071,83.42781751417331,6.618400748519758e-20
addr_state_KS,-0.007700544231834846,70.91425591734607,3.7349573124167384e-17
addr_state_CT,-0.007594609049248833,68.9775133027679,9.969450190068427e-17
addr_state_GA,-0.007554749216883754,68.25371444852993,1.439001476317869e-16
log_revol_bal,-0.007371608500821402,64.98523051937981,7.553023741695545e-16
purpose_major_purchase,-0.007013089310371969,58.81688775584035,1.731790255756109e-14
addr_state_NE,0.0070029924833062696,58.64817523087744,1.8868312469738857e-14
sub_grade_C1,-0.006832369669537819,55.823445020775296,7.933391699052227e-14
addr_state_NV,0.006747436812696895,54.444509438261036,1.6000256643129853e-13
addr_state_VT,-0.006670112467658281,53.205080532931504,3.0066514530207517e-13
purpose_other,0.006365349610815664,48.45496669241532,3.381340026495092e-12
purpose_moving,0.006188352733289701,45.79678338241098,1.3123878419184613e-11
addr_state_WV,-0.006175082832516858,45.60048062072546,1.450717854708151e-11
addr_state_WI,-0.005805170088548646,40.30062005969849,2.1781743568334272e-10
addr_state_NJ,0.005704039334001671,38.907589759217956,4.444974312922162e-10
home_ownership_OWN,0.005667228169034703,38.41270750980847,5.7276916087843e-10
addr_state_TN,0.005209724099664646,32.457286001885166,1.2186975980159366e-08
total_acc,-0.005007980943641884,29.99181623902522,4.339605473144365e-08
addr_state_IN,0.004918003026337203,28.922208696081434,7.535815527827688e-08
addr_state_ME,-0.00488876327164834,28.580905212878367,8.988040699822937e-08
addr_state_MD,0.004862618923366115,28.275380562745095,1.0524463890870271e-07
addr_state_CA,-0.0045371821484185065,24.62032936615983,6.982091822555376e-07
addr_state_UT,-0.004490809884519716,24.116656400726608,9.06845385699789e-07
sub_grade_C2,0.004471176497124682,23.91082211746409,1.0091598802223798e-06
purpose_medical,0.0043687970690000685,22.823805218149538,1.7757380619853669e-06
addr_state_MA,-0.004237648205297355,21.475532362719147,3.584099842981124e-06
addr_state_OH,0.004187616904404127,20.971329493151217,4.66255083730877e-06
addr_state_PA,0.00415817677563323,20.680466647213382,5.427209623087026e-06
purpose_house,0.0041111919250903795,20.211676499883097,6.933496631183158e-06
addr_state_MO,0.003841297795405984,17.64390735496714,2.6638644867362436e-05
addr_state_MT,-0.0037173649048015864,16.52501253163288,4.801558298938058e-05
addr_state_WY,-0.0034835979751349166,14.512058495025256,0.00013927219636032488
addr_state_KY,0.0032843564662446427,12.899558450741539,0.000328672823361201
addr_state_RI,-0.003236306802897068,12.524694848596516,0.000401623707464365
addr_state_NC,0.0032282075744457135,12.462233649129967,0.00041527866270540096
addr_state_NM,0.002455716708227623,7.211381401288289,0.0072443716087367376
purpose_renewable_energy,0.002104777539988365,5.297636579622988,0.021354551326960753
addr_state_TX,-0.0017965841600006195,3.853799196063712,0.04963367484906978
addr_state_SD,0.0016107232605051655,3.1025812489780975,0.07816851811659327
addr_state_MI,0.001250014363126,1.8657442829269073,0.17196354585231263
purpose_vacation,-0.0012053479872644161,1.737135248185588,0.18750247189190142
purpose_educational,-0.0011359523088086791,1.5430703758073492,0.21416160745316967
addr_state_ND,0.0009540022139654128,1.088344392231977,0.2968385402627519
addr_state_AZ,-0.0008374925518814079,0.8375713430830106,0.3600924774973656
addr_state_HI,0.0007464101300341026,0.6665336410809269,0.41426291692981354
addr_state_VA,0.0005678175190496912,0.38407320757024965,0.535431463883187
addr_state_MN,-0.0004942822083295318,0.29278426747967995,0.5884419068238841
home_ownership_OTHER,-0.00037457185286314743,0.16777119629679954,0.6821003334428508
addr_state_IA,-0.0003416170601420453,0.13955494161593673,0.708723928209003
addr_state_DE,0.0001619564857825354,0.031243115887191517,0.8596991207671728
addr_state_ID,1.538047727511475e-05,0.0002838732905909264,0.9865574529735613
