컬럼명,결측치 개수
id,0
member_id,2260701
loan_amnt,33
funded_amnt,33
funded_amnt_inv,33
term,33
int_rate,33
installment,33
grade,33
sub_grade,33
emp_title,167002
emp_length,146940
home_ownership,33
annual_inc,37
verification_status,33
issue_d,33
loan_status,33
pymnt_plan,33
url,33
desc,2134636
purpose,33
title,23359
zip_code,34
addr_state,33
dti,1744
delinq_2yrs,62
earliest_cr_line,62
fico_range_low,33
fico_range_high,33
inq_last_6mths,63
mths_since_last_delinq,1158535
mths_since_last_record,1901545
open_acc,62
pub_rec,62
revol_bal,33
revol_util,1835
total_acc,62
initial_list_status,33
out_prncp,33
out_prncp_inv,33
total_pymnt,33
total_pymnt_inv,33
total_rec_prncp,33
total_rec_int,33
total_rec_late_fee,33
recoveries,33
collection_recovery_fee,33
last_pymnt_d,2460
last_pymnt_amnt,33
next_pymnt_d,1345343
last_credit_pull_d,105
last_fico_range_high,33
last_fico_range_low,33
collections_12_mths_ex_med,178
mths_since_last_major_derog,1679926
policy_code,33
application_type,33
annual_inc_joint,2139991
dti_joint,2139995
verification_status_joint,2144971
acc_now_delinq,62
tot_coll_amt,70309
tot_cur_bal,70309
open_acc_6m,866163
open_act_il,866162
open_il_12m,866162
open_il_24m,866162
mths_since_rcnt_il,909957
total_bal_il,866162
il_util,1068883
open_rv_12m,866162
open_rv_24m,866162
max_bal_bc,866162
all_util,866381
total_rev_hi_lim,70309
inq_fi,866162
total_cu_tl,866163
inq_last_12m,866163
acc_open_past_24mths,50063
avg_cur_bal,70379
bc_open_to_buy,74968
bc_util,76104
chargeoff_within_12_mths,178
delinq_amnt,62
mo_sin_old_il_acct,139104
mo_sin_old_rev_tl_op,70310
mo_sin_rcnt_rev_tl_op,70310
mo_sin_rcnt_tl,70309
mort_acc,50063
mths_since_recent_bc,73445
mths_since_recent_bc_dlq,1741000
mths_since_recent_inq,295468
mths_since_recent_revol_delinq,1520342
num_accts_ever_120_pd,70309
num_actv_bc_tl,70309
num_actv_rev_tl,70309
num_bc_sats,58623
num_bc_tl,70309
num_il_tl,70309
num_op_rev_tl,70309
num_rev_accts,70310
num_rev_tl_bal_gt_0,70309
num_sats,58623
num_tl_120dpd_2m,153690
num_tl_30dpd,70309
num_tl_90g_dpd_24m,70309
num_tl_op_past_12m,70309
pct_tl_nvr_dlq,70464
percent_bc_gt_75,75412
pub_rec_bankruptcies,1398
tax_liens,138
tot_hi_cred_lim,70309
total_bal_ex_mort,50063
total_bc_limit,50063
total_il_high_credit_limit,70309
revol_bal_joint,2152681
sec_app_fico_range_low,2152680
sec_app_fico_range_high,2152680
sec_app_earliest_cr_line,2152680
sec_app_inq_last_6mths,2152680
sec_app_mort_acc,2152680
sec_app_open_acc,2152680
sec_app_revol_util,2154517
sec_app_open_act_il,2152680
sec_app_num_rev_accts,2152680
sec_app_chargeoff_within_12_mths,2152680
sec_app_collections_12_mths_ex_med,2152680
sec_app_mths_since_last_major_derog,2224759
hardship_flag,33
hardship_type,2249784
hardship_reason,2249784
hardship_status,2249784
deferral_term,2249784
hardship_amount,2249784
hardship_start_date,2249784
hardship_end_date,2249784
payment_plan_start_date,2249784
hardship_length,2249784
hardship_dpd,2249784
hardship_loan_status,2249784
orig_projected_additional_accrued_interest,2252050
hardship_payoff_balance_amount,2249784
hardship_last_payment_amount,2249784
disbursement_method,33
debt_settlement_flag,33
debt_settlement_flag_date,2226455
settlement_status,2226455
settlement_date,2226455
settlement_amount,2226455
settlement_percentage,2226455
settlement_term,2226455
