epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.503,0.88883,3.88931,1.22031,0.04472,0.75898,0.17143,0.15023,0.69597,3.2294,1.08352,0.000172202,0.000172202,0.000172202
2,310.161,0.75614,2.73736,1.10444,0.28788,0.44459,0.23895,0.20004,0.73237,2.16463,1.11973,0.000336067,0.000336067,0.000336067
3,500.307,0.74389,2.26773,1.08569,0.34695,0.45006,0.33653,0.26931,0.80938,2.15125,1.20912,0.00048836,0.00048836,0.00048836
4,764.957,0.7352,1.94423,1.07578,0.5302,0.56961,0.59578,0.45739,0.82553,1.48988,1.27818,0.000473926,0.000473926,0.000473926
5,1047.11,0.70419,1.63528,1.05777,0.6539,0.56881,0.64706,0.5156,0.76082,1.43755,1.16165,0.000456568,0.000456568,0.000456568
6,1329.2,0.67069,1.39096,1.04003,0.69869,0.65024,0.71435,0.59667,0.699,1.13239,1.0835,0.00043921,0.00043921,0.00043921
7,1605.28,0.66043,1.27409,1.03773,0.75764,0.65243,0.75869,0.63608,0.64556,0.95096,1.04487,0.000421852,0.000421852,0.000421852
8,1878.21,0.64464,1.17356,1.02648,0.87241,0.7386,0.83463,0.70037,0.65606,0.82352,1.06421,0.000404494,0.000404494,0.000404494
9,2155.88,0.62865,1.07833,1.01285,0.86095,0.7512,0.84471,0.71508,0.64958,0.79832,1.05103,0.000387136,0.000387136,0.000387136
10,2436.29,0.62894,1.0157,1.01655,0.8441,0.73962,0.84133,0.7092,0.63634,0.87891,1.02628,0.000369778,0.000369778,0.000369778
11,2713.41,0.62023,0.9559,1.0104,0.86269,0.78437,0.87642,0.73667,0.62302,0.65469,1.01193,0.00035242,0.00035242,0.00035242
12,2993.83,0.61663,0.93863,1.00507,0.89753,0.78243,0.87214,0.73908,0.6018,0.6459,0.99455,0.000335062,0.000335062,0.000335062
13,3271.26,0.59786,0.88634,1.00289,0.90524,0.79134,0.88218,0.75045,0.59821,0.6165,0.9923,0.000317704,0.000317704,0.000317704
14,3571.88,0.59528,0.86083,0.99553,0.91674,0.81174,0.89521,0.75704,0.59725,0.6005,0.98536,0.000300346,0.000300346,0.000300346
15,3864.33,0.58759,0.80097,0.994,0.89942,0.8278,0.90587,0.77477,0.5814,0.52662,0.97966,0.000282988,0.000282988,0.000282988
16,4161.36,0.58296,0.78965,0.98573,0.94006,0.82341,0.91709,0.78567,0.58464,0.49079,0.97811,0.00026563,0.00026563,0.00026563
17,4452,0.56401,0.74485,0.98387,0.90682,0.84597,0.91686,0.78253,0.58587,0.48009,0.97138,0.000248272,0.000248272,0.000248272
18,4742.78,0.56958,0.744,0.98673,0.93687,0.83611,0.91681,0.78441,0.57467,0.46509,0.97146,0.000230914,0.000230914,0.000230914
19,5037.42,0.57363,0.72047,0.97898,0.94167,0.85822,0.93465,0.80028,0.56025,0.44251,0.95972,0.000213556,0.000213556,0.000213556
20,5339.86,0.5589,0.70967,0.97573,0.93712,0.84986,0.93614,0.80375,0.55274,0.43045,0.95722,0.000196198,0.000196198,0.000196198
21,5631.24,0.5565,0.53377,0.95116,0.94451,0.84487,0.93137,0.79279,0.56676,0.44636,0.96586,0.00017884,0.00017884,0.00017884
22,5929.05,0.54412,0.5012,0.93674,0.95811,0.82966,0.93468,0.80079,0.55196,0.4185,0.95127,0.000161482,0.000161482,0.000161482
23,6203.13,0.54218,0.47368,0.93814,0.93886,0.85777,0.93668,0.80303,0.54978,0.4118,0.94682,0.000144124,0.000144124,0.000144124
24,6472.45,0.53001,0.46146,0.93574,0.92095,0.88519,0.93733,0.80823,0.54364,0.39274,0.94244,0.000126766,0.000126766,0.000126766
25,6732.62,0.52491,0.43801,0.92843,0.93152,0.88838,0.94409,0.81412,0.54771,0.38556,0.94894,0.000109408,0.000109408,0.000109408
26,7028.16,0.50986,0.4145,0.92012,0.93443,0.87468,0.94011,0.80817,0.53731,0.37615,0.94425,9.205e-05,9.205e-05,9.205e-05
27,7320.98,0.50914,0.40691,0.92139,0.9464,0.87429,0.94478,0.82029,0.53416,0.36214,0.9385,7.4692e-05,7.4692e-05,7.4692e-05
28,7581.07,0.49471,0.39066,0.91212,0.92487,0.88654,0.94713,0.8189,0.53116,0.35773,0.93885,5.7334e-05,5.7334e-05,5.7334e-05
29,7874.97,0.49429,0.38534,0.90898,0.9243,0.8994,0.94919,0.82441,0.52617,0.34509,0.93495,3.9976e-05,3.9976e-05,3.9976e-05
30,8144,0.48956,0.37943,0.90732,0.95009,0.8863,0.95288,0.82645,0.5254,0.33619,0.93655,2.2618e-05,2.2618e-05,2.2618e-05
