epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2696.93,0.60025,0.51331,0.99081,0.91327,0.85299,0.93175,0.78425,0.63872,0.50825,1.01104,0.000526,0.000526,0.000526
2,5321.33,0.60215,0.50151,0.98651,0.89084,0.87929,0.92783,0.78321,0.64939,0.47122,1.02525,0.000473926,0.000473926,0.000473926
3,6831.58,0.58376,0.45748,0.9766,0.94217,0.86687,0.93835,0.79683,0.62315,0.44578,1.00232,0.000421852,0.000421852,0.000421852
4,7618.4,0.5684,0.43736,0.96447,0.9481,0.88531,0.94626,0.80906,0.62539,0.41299,0.99885,0.000369778,0.000369778,0.000369778
5,8134.11,0.56528,0.41112,0.96361,0.94374,0.90402,0.95097,0.81445,0.60248,0.38269,0.98321,0.000317704,0.000317704,0.000317704
6,8867.69,0.5501,0.37615,0.95557,0.94878,0.8987,0.95384,0.81661,0.59646,0.37822,0.98444,0.00026563,0.00026563,0.00026563
7,9907.33,0.53326,0.36275,0.94302,0.92984,0.9217,0.96019,0.82026,0.59796,0.36699,0.98046,0.000213556,0.000213556,0.000213556
8,10716.1,0.5241,0.34113,0.9367,0.94494,0.92336,0.96435,0.83069,0.58781,0.33866,0.97726,0.000161482,0.000161482,0.000161482
9,12403,0.50792,0.314,0.93232,0.95771,0.91311,0.96642,0.83188,0.57812,0.32653,0.96682,0.000109408,0.000109408,0.000109408
10,13792.7,0.50318,0.30303,0.92365,0.95779,0.91518,0.96541,0.83848,0.56965,0.31885,0.95986,5.7334e-05,5.7334e-05,5.7334e-05
